name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Wayne Calvert,75,,,2.5,5.1,.479,1.2,1.6,.769,2.1,,,,,1.2,6.1,
Willie Calvert,71,,,6.2,11.0,.558,4.0,5.5,.724,12.7,,0.9,0.2,,3.1,16.3,
Fabien Calvez,14,0,7.1,0.4,1.4,.316,0.2,0.5,.429,0.2,0.9,.250,0.2,0.4,.500,0.1,0.8
Ajay Calvin,63,60,29.2,5.4,10.9,.493,5.1,10.1,.506,0.3,0.8,.340,2.2,3.2,.680,2.3,3.4
Brent Calvin,27,6,6.4,0.3,0.8,.364,0.3,0.8,.364,0.0,0.0,,0.2,0.3,.667,,
Jamaal Calvin,108,51,20.7,1.7,4.8,.356,0.5,1.4,.358,1.2,3.4,.356,0.9,1.1,.825,0.4,1.6
Jermaine Calvin,73,8,11.3,0.6,1.5,.369,0.5,1.3,.394,0.1,0.2,.235,0.3,0.7,.431,0.3,0.9
Kourtney Calvin,42,24,22.9,3.1,5.8,.533,3.1,5.8,.533,0.0,0.0,.500,2.3,3.6,.645,2.7,3.4
Mack Calvin,52,,,4.5,9.6,.468,3.3,4.5,.723,2.4,,,,,2.0,12.3,
Mike Calvin,34,0,8.7,0.8,2.4,.350,,,,,,,0.3,0.6,.450,1.3,0.2
Terrance Calvin,94,81,30.7,3.4,8.8,.386,3.3,8.3,.397,0.1,0.5,.196,3.6,4.7,.752,1.5,3.3
Trey Calvin,70,38,25.8,2.9,8.1,.365,1.6,3.8,.431,1.3,4.2,.306,1.1,1.4,.781,0.3,2.0
William Calvin,56,54,31.1,6.1,13.4,.457,5.8,12.5,.467,0.3,0.9,.321,2.1,2.8,.755,,
Carmine Calzonetti,80,,,2.5,5.3,.467,1.5,1.9,.793,1.6,,,,,1.0,6.4,
Dennis Calzonetti,42,,,1.1,2.5,.429,0.2,0.3,.692,0.7,,,,,0.7,2.4,
Mark Calzonetti,12,0,3.1,0.2,0.5,.333,,,,,,,0.1,0.3,.333,0.2,0.0
Rick Camac,28,,,1.1,2.2,.484,0.4,1.0,.414,1.9,,,,,1.2,2.6,
Brian Camacho,3,0,1.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.7,.000,0.0,0.3
Jorge Camacho,31,0,14.6,2.5,4.3,.567,2.5,4.3,.576,0.0,0.1,.000,1.4,1.8,.750,1.6,1.4
Jamaal Camah,59,19,19.6,2.2,5.3,.408,2.1,4.9,.438,0.0,0.4,.077,0.9,1.5,.596,,
Babacar Camara,85,45,17.7,1.6,3.5,.462,1.6,3.4,.470,0.0,0.2,.286,0.9,1.8,.510,1.1,2.1
Iba Camara,122,95,21.3,2.9,5.7,.511,2.9,5.7,.512,0.0,0.0,.000,1.7,2.9,.581,2.2,6.1
Jules Camara,136,34,16.6,2.5,5.0,.507,2.5,4.8,.521,0.0,0.2,.207,0.8,1.2,.680,,
Moel Camara,20,0,10.5,0.7,2.1,.341,0.5,1.2,.375,0.3,0.9,.294,0.5,0.9,.529,0.3,1.0
Mohamed Camara,61,30,15.2,1.1,2.3,.458,1.1,2.3,.458,0.0,0.0,,0.3,1.1,.313,1.7,2.0
Moussa Camara,108,55,22.7,2.4,6.5,.369,1.0,2.6,.401,1.4,4.0,.348,1.3,1.8,.741,0.5,1.4
Seco Camara,91,12,9.4,1.0,3.2,.329,0.4,1.0,.379,0.7,2.2,.307,0.3,0.4,.735,,
Toumani Camara,71,62,26.1,3.6,7.4,.491,3.3,5.8,.564,0.4,1.6,.228,1.9,3.1,.636,2.0,4.0
Yankuba Camara,54,46,15.3,1.0,2.0,.482,1.0,2.0,.482,0.0,0.0,,0.4,0.7,.622,1.2,1.9
James Cambell,18,,,0.9,1.7,.533,0.3,0.7,.500,0.9,,3.9,0.3,,0.8,2.1,
Cody Cambre,20,0,2.2,0.1,0.3,.200,0.1,0.1,.500,0.0,0.2,.000,0.2,0.3,.500,0.1,0.4
Bryan Cambria,10,0,1.2,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,0.0,0.0,,0.0,0.1
Desmond Cambridge,84,84,29.5,4.8,12.1,.402,3.2,6.9,.457,1.7,5.2,.328,3.9,5.1,.763,1.5,2.4
Desmond Cambridge,95,94,30.1,5.7,14.4,.398,3.1,6.5,.474,2.6,7.9,.335,2.4,3.0,.796,0.6,3.7
Devan Cambridge,71,32,19.6,2.4,6.0,.403,1.2,2.2,.564,1.2,3.8,.310,0.6,1.1,.543,0.9,2.1
Dexter Cambridge,51,,22.3,6.0,11.4,.522,5.4,9.6,.565,0.5,1.8,.293,3.3,4.6,.711,,
Marcus Camby,92,63,25.3,5.9,11.7,.501,5.8,11.6,.506,0.0,0.1,.077,3.3,5.1,.661,,
John Camden,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0
J.R. Camel,86,20,23.8,3.9,8.0,.483,3.8,7.8,.490,0.1,0.3,.261,2.0,2.9,.690,,
Anthony Cameron,10,0,7.1,0.4,1.1,.364,0.4,1.1,.364,0.0,0.0,,0.2,0.2,1.000,0.3,0.5
Brandon Cameron,60,4,12.9,1.1,2.9,.362,0.8,2.3,.363,0.2,0.7,.359,0.8,1.1,.738,0.4,0.9
