name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
George Bailey,3,,,0.7,2.0,.333,0.7,2.0,.333,0.0,0.0,,0.0,0.0,,,
George Bailey,9,,,2.7,7.1,.375,0.9,1.4,.615,1.9,,,,,1.2,6.2,
Gerald Bailey,15,,,4.0,9.5,.423,1.1,1.8,.593,6.3,,,,,1.7,9.1,
Gus Bailey,76,,,4.4,8.7,.511,3.5,5.8,.595,5.8,,,,,2.2,12.3,
Hamilton Bailey,17,0,2.6,0.0,0.2,.000,0.0,0.1,.000,0.0,0.1,.000,0.2,0.3,.800,0.0,0.2
Harold Bailey,40,12,13.4,0.8,2.0,.370,0.3,0.8,.394,0.4,1.2,.354,0.5,0.9,.543,0.5,1.1
Harold Bailey,21,,,0.4,2.0,.214,0.2,1.1,.217,0.2,0.9,.211,0.1,0.1,1.000,,
Hashim Bailey,70,9,9.4,0.8,1.5,.500,0.8,1.5,.500,0.0,0.0,,0.3,1.0,.338,1.4,1.6
Heath Bailey,14,0,,0.4,1.1,.333,0.4,1.1,.333,0.0,0.0,,0.1,0.3,.500,0.6,0.2
Henry Bailey,36,,,0.5,1.6,.333,0.5,0.8,.643,1.8,,,,,0.9,1.6,
Isaiah Bailey,64,55,29.6,4.6,10.8,.428,3.9,8.1,.478,0.7,2.6,.272,5.7,7.3,.779,1.2,3.8
Jabril Bailey,29,2,13.0,1.8,4.7,.375,1.3,3.0,.442,0.4,1.7,.260,1.0,1.4,.732,0.6,1.1
Jamar Bailey,45,13,27.0,2.9,6.6,.443,2.8,6.1,.460,0.1,0.5,.227,2.5,3.8,.653,,
James Bailey,122,117,31.2,7.0,12.8,.545,2.8,4.2,.655,8.8,0.8,1.4,2.5,,2.9,16.7,
James Bailey,88,20,16.6,1.6,3.5,.448,1.3,2.6,.502,0.3,1.0,.306,0.6,0.9,.687,,
James Bailey,68,21,15.5,1.5,3.5,.434,1.4,3.1,.455,0.1,0.4,.269,1.1,1.8,.647,,
James Bailey,21,2,,1.2,3.3,.377,0.3,1.0,.318,2.2,0.2,0.1,0.1,1.0,0.9,2.8,
Jamil Bailey,5,0,1.2,0.2,0.4,.500,0.2,0.2,1.000,0.0,0.2,.000,0.0,0.0,,0.0,0.2
Jay Bailey,53,,24.1,2.4,6.5,.368,2.3,6.2,.373,0.1,0.2,.250,1.2,1.8,.646,,
Jeff Bailey,53,,,3.0,7.4,.412,0.8,1.2,.726,2.2,1.2,,,,1.1,6.9,
Jeremiah Bailey,96,48,21.1,2.2,5.5,.406,1.2,2.6,.466,1.0,2.9,.351,1.1,1.6,.673,0.9,2.9
Jim Bailey,2,,,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,,,0.0,0.0,
