name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
George Zaninovich,17,0,4.1,0.6,1.8,.355,0.3,0.7,.417,0.4,1.1,.316,0.2,0.4,.500,,
George Zaninovich,56,,,1.6,4.6,.337,1.4,2.5,.570,3.4,0.2,,,,2.4,4.6,
Nura Zanna,128,93,21.0,2.5,4.7,.543,2.5,4.7,.545,0.0,0.0,.000,1.5,3.0,.505,2.4,3.7
Talib Zanna,135,94,21.7,3.0,5.5,.553,3.0,5.5,.555,0.0,0.0,.000,2.2,3.4,.650,2.5,3.5
Rudy Zannini,57,,,0.6,2.6,.245,0.8,1.4,.577,0.4,0.1,,,,1.3,2.1,
Craig Zanon,97,66,32.2,3.6,6.9,.532,,,,,,,3.7,4.7,.798,3.1,1.8
Rick Zanon,38,0,,0.7,1.7,.438,0.7,1.2,.578,0.7,1.0,0.3,0.0,1.1,0.9,2.1,
Scott Zanon,103,61,35.0,3.6,7.9,.453,,,.448,,,.415,2.1,2.6,.801,,
Pete van Zant,8,,,0.5,1.4,.364,0.1,0.5,.250,0.6,,,,,0.5,1.1,
John Zanzalari,67,,,2.9,6.0,.491,1.4,2.3,.622,4.7,0.6,,,,2.1,7.3,
Tony Zanze,28,,,0.9,2.5,.343,,,,,,,0.9,1.2,.706,2.1,0.3
Szymon Zapala,22,0,4.7,0.5,0.9,.579,0.5,0.9,.579,0.0,0.0,,0.5,1.0,.522,0.8,0.8
Tommy Zapata,105,8,12.9,1.3,3.7,.347,0.7,1.8,.387,0.6,1.9,.308,0.8,1.1,.742,,
Bill Zapp,55,,,1.4,4.3,.316,1.4,2.6,.553,6.0,,,,,2.4,4.1,
Ermine Zappa,25,,,5.2,12.7,.413,4.1,5.6,.736,9.8,,,,,2.6,14.6,
Ron Zappia,4,0,,0.5,1.5,.333,,,,,,,0.5,1.0,.500,1.3,0.5
_ Zaptor,3,0,3.0,0.0,0.0,,,,,,,,0.7,0.7,1.000,0.3,0.3
Gil Zaragoza,36,,,2.3,5.3,.444,1.7,2.3,.723,2.7,,,,,2.8,6.3,
Zack Zaragoza,7,0,6.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,0.0,0.0,,0.0,1.0
Joe Zaranka,75,,,2.5,6.5,.386,0.6,0.8,.683,2.9,,,,,3.1,5.6,
John Zaraoza,5,,,1.6,,,0.2,0.4,.500,,,,,,0.0,3.4,
Morris Zarchen,,,,,,,,,.000,,,,,,,,
Stan Zardozny,24,,,3.4,7.9,.434,1.2,2.1,.560,,,,,,2.3,8.0,
Andrew Zarechnak,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Nemanja Zarkovic,69,8,16.6,1.1,3.2,.335,0.4,1.0,.375,0.7,2.1,.315,0.3,0.5,.606,0.4,0.9
Bob Zarr,33,,,1.5,3.8,.403,1.0,2.0,.508,2.5,,,,,2.6,4.0,
Jesse Zarzuela,13,12,34.1,5.5,15.0,.364,3.2,7.1,.457,2.2,7.9,.282,2.5,3.2,.805,0.5,2.9
Max Zaslofsky,18,,,3.3,,,1.2,2.1,.579,,,,,,,7.8,
Eric Zastoupil,59,5,11.7,0.9,2.0,.442,0.9,1.8,.486,0.0,0.2,.077,0.7,0.9,.765,0.7,1.0
Ed Zastrow,25,,,2.1,5.6,.381,1.0,1.5,.649,1.3,,,,,1.8,5.2,
Nate Zastrow,106,7,12.1,0.9,2.9,.299,0.2,1.1,.216,0.6,1.8,.351,1.1,1.4,.823,0.1,1.0
Butch Zatezalo,75,75,,8.4,20.5,.410,6.7,8.1,.821,2.8,,,,,2.6,23.5,
Rudy Zatezalo,2,,,0.5,1.5,.333,0.0,0.0,,0.0,,,,,0.5,1.0,
Jeff Zatkoff,81,,32.7,5.9,11.8,.504,,,,,,,4.2,5.8,.730,7.1,0.8
Johnny Zatopek,22,,,2.5,,,1.9,2.6,.724,,,,,,2.1,7.0,
John Zatorski,51,,,1.3,3.6,.350,0.9,1.9,.500,3.8,,,,,1.7,3.5,
Ed Zausch,29,,,3.2,8.1,.393,1.3,2.3,.544,9.6,,,,,3.2,7.6,
Ed Zausch,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Donatas Zavackas,118,106,27.0,2.8,6.2,.447,1.5,3.1,.489,1.2,3.1,.405,2.6,3.2,.807,,
Jeff Zavada,58,15,15.5,2.8,5.2,.530,2.7,5.1,.536,0.0,0.1,.286,1.2,1.8,.706,,
Jeff Zavada,18,,,0.3,0.6,.545,0.3,0.6,.545,0.0,0.0,,0.1,0.1,.500,,
Javier Zavala,51,27,19.6,1.7,4.6,.373,1.2,3.1,.380,0.5,1.5,.359,1.9,2.6,.722,,
Bob Zavorskas,25,,,0.9,2.9,.306,0.8,1.5,.541,1.2,,,,,1.0,2.6,
Tom Zavorskas,54,,,2.1,7.3,.288,1.4,2.2,.624,2.9,,,,,2.2,5.5,
Ron Zawacki,15,,,1.5,2.2,.667,1.1,1.0,1.067,2.2,,,,,1.5,4.0,
Ted Zawacki,39,,,0.4,0.9,.378,0.7,1.1,.591,1.0,,,,,0.7,1.4,
Ray Zawadzki,34,,,0.5,1.4,.362,0.5,0.9,.621,0.8,,,,,0.5,1.5,
Joe Zawawacki,10,,,0.1,1.1,.091,0.0,0.1,.000,0.7,,,,,0.1,0.2,
Bob Zawoluk,90,,,7.2,16.4,.437,5.8,8.0,.732,12.3,2.0,,,,3.1,20.2,
Steve Zazuri,70,4,11.9,0.2,0.8,.304,0.2,0.8,.304,0.0,0.0,,0.1,0.2,.538,0.3,0.8
Frank Zazzaro,62,1,8.9,1.1,2.5,.461,0.9,1.1,.746,1.9,,,,,1.5,3.1,
John Zazzaro,45,,,2.2,5.6,.402,0.8,1.7,.507,1.5,,,,,1.0,5.3,
Bill Zban,1,,,0.0,0.0,,0.0,0.0,,0.0,,,,,2.0,0.0,
Dima Zdor,83,12,9.9,1.1,2.0,.556,1.1,1.9,.567,0.0,0.1,.200,0.7,1.3,.567,1.0,2.0
Larry Zebrack,4,,,0.5,1.5,.333,0.8,1.3,.600,0.8,,,,,0.3,1.8,
Aleksandar Zecevic,64,22,14.5,2.4,4.5,.540,2.3,3.9,.586,0.1,0.6,.237,0.5,0.8,.627,1.3,2.8
Stefan Zecevic,22,0,3.5,0.2,0.5,.417,0.2,0.5,.455,0.0,0.0,.000,0.1,0.5,.200,0.2,0.5
