name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Harris Walker,66,1,12.0,1.4,3.3,.421,1.1,2.5,.440,0.3,0.8,.360,0.4,0.7,.556,,
Henry Walker,37,33,26.6,5.6,12.3,.456,4.6,8.9,.520,0.9,3.3,.285,3.2,4.4,.727,2.4,3.7
Horace Walker,52,,,5.9,14.8,.400,3.8,5.0,.752,13.8,,,,,2.8,15.6,
Howard Walker,27,,,4.8,11.6,.415,1.5,2.5,.603,6.0,,,,,0.9,11.1,
Isaiah Walker,59,,,0.9,2.6,.355,0.6,2.3,.250,0.7,1.7,.396,0.3,0.5,.593,,
Iyan Walker,87,22,15.5,1.8,3.9,.450,1.8,3.9,.450,0.0,0.0,,0.7,1.5,.496,,
J.W. Walker,10,,,0.2,1.6,.125,0.1,0.1,1.000,,,,,,0.5,0.5,
Jabari Walker,40,14,18.5,3.3,6.7,.494,2.5,4.6,.546,0.8,2.1,.381,2.2,3.0,.725,1.6,4.2
Jackie Walker,71,0,5.2,3.5,7.5,.473,,,,,,,1.4,2.5,.563,5.7,0.3
Jaden Walker,25,9,16.2,1.1,3.0,.373,0.9,2.1,.415,0.2,0.9,.273,0.5,0.7,.722,0.2,2.5
Jamaal Walker,6,0,3.3,0.3,1.3,.250,0.2,0.7,.250,0.2,0.7,.250,0.3,0.5,.667,0.3,0.8
Jamaal Walker,34,9,22.0,1.8,4.5,.395,0.9,2.3,.416,0.8,2.2,.373,0.7,1.0,.706,0.4,1.1
Jamaar Walker,59,34,21.7,1.9,4.4,.425,1.7,3.9,.450,0.1,0.5,.250,1.5,2.4,.636,1.0,1.7
Jamal Walker,17,0,6.8,0.4,1.3,.318,0.4,0.9,.467,0.0,0.4,.000,0.3,0.6,.455,0.5,0.9
Jamal Walker,120,47,31.1,3.9,8.6,.448,3.2,6.5,.498,0.6,2.1,.292,2.8,4.2,.667,,
Jamall Walker,123,73,24.9,1.8,5.1,.348,1.1,2.9,.381,0.7,2.1,.303,0.9,1.4,.599,,
James Walker,88,45,21.6,2.1,5.4,.393,1.1,2.5,.417,1.1,2.8,.372,1.4,2.0,.701,0.6,2.1
James Walker,57,56,28.2,3.0,5.4,.552,2.9,5.3,.553,0.0,0.1,.500,2.7,4.1,.662,,
Jared Walker,11,0,3.4,0.4,0.7,.500,0.1,0.3,.333,0.3,0.5,.600,0.2,0.2,1.000,0.1,0.5
Jarvis Walker,23,0,13.6,1.6,3.2,.507,1.3,2.5,.534,0.3,0.7,.400,0.9,1.4,.636,0.4,1.0
Jarvis Walker,13,0,6.2,0.3,1.8,.174,0.2,1.1,.143,0.2,0.7,.222,0.8,1.0,.769,0.4,0.8
Jasper Walker,117,116,34.0,2.5,6.3,.401,1.4,3.2,.422,1.2,3.1,.378,1.7,2.4,.716,,
Jaylen Walker,47,0,15.7,1.6,3.7,.430,0.9,2.0,.458,0.6,1.6,.395,0.7,0.9,.786,0.7,1.7
Jaylin Walker,114,74,30.6,5.2,13.4,.386,2.6,5.9,.436,2.6,7.5,.346,2.9,3.6,.793,1.4,2.7
Jermaine Walker,10,0,6.2,0.8,2.0,.400,0.8,1.9,.421,0.0,0.1,.000,0.5,0.6,.833,,
Jerry Walker,99,69,29.0,3.8,7.2,.530,3.8,7.2,.531,0.0,0.0,.000,3.2,4.6,.704,,
Jerry Walker,91,,,3.0,6.9,.434,1.6,2.4,.671,4.0,1.5,1.2,0.2,,2.4,7.6,
Jesse Walker,9,,33.9,3.9,11.2,.347,0.7,1.3,.500,4.8,1.8,0.6,0.9,2.0,2.7,8.4,
Jim Walker,9,,,0.6,2.3,.238,1.0,1.3,.750,1.0,,,,,0.3,2.1,
Jim 2 Walker,19,,,0.4,1.4,.269,1.2,1.6,.742,0.9,,,,,0.9,1.9,
Jimmy Walker,69,,,1.1,2.9,.380,1.2,1.8,.654,1.9,0.8,,,,1.6,3.4,
Jimmy Walker,81,,38.8,9.7,19.6,.492,5.9,7.6,.783,6.3,5.3,,,,2.8,25.2,
Joe Walker III,44,11,16.8,2.2,4.5,.495,2.2,4.5,.497,0.0,0.0,.000,1.5,2.5,.571,1.7,3.0
Joey Walker,55,40,26.4,4.7,8.1,.576,4.5,7.5,.600,0.2,0.7,.306,2.5,3.8,.652,2.3,3.5
John Walker,95,9,23.0,1.8,3.8,.471,2.1,4.3,.483,0.0,0.0,,0.7,1.1,.660,,
John Walker,11,,,0.4,1.4,.267,0.4,1.4,.267,0.0,0.0,,0.2,0.5,.333,,
John Walker III,80,41,19.7,2.8,5.5,.505,2.5,4.5,.554,0.3,1.0,.278,1.8,2.6,.670,1.4,2.5
Johnathan Walker,33,16,22.0,2.4,5.7,.428,1.9,3.9,.492,0.5,1.8,.288,1.4,2.0,.682,0.7,1.0
Johnny Walker,57,27,28.1,4.3,8.7,.497,4.3,8.6,.501,0.0,0.1,.167,1.4,2.7,.536,,
Johnny Walker,5,,,0.8,3.0,.267,0.8,3.0,.267,0.0,0.0,,0.6,1.2,.500,,
JoJo Walker,93,78,29.2,3.1,8.2,.380,1.7,3.9,.421,1.5,4.2,.342,2.6,3.7,.704,0.3,2.5
Jonathan Walker,111,40,19.7,2.1,4.5,.470,2.1,4.5,.472,0.0,0.1,.333,1.3,2.2,.565,1.6,2.2
Jonathan Walker,10,0,1.9,0.2,0.6,.333,0.0,0.1,.000,0.2,0.5,.400,0.0,0.0,,0.1,0.2
Jontrell Walker,100,48,23.8,3.4,8.7,.383,1.7,3.8,.445,1.7,4.9,.335,2.7,3.1,.859,0.4,1.3
Jordan Walker,3,0,1.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.7
Jordan Walker,124,93,28.4,3.9,9.7,.397,2.2,5.0,.444,1.6,4.7,.348,2.6,3.3,.771,0.6,2.4
Jordan Walker,86,61,24.6,3.3,8.5,.395,2.0,4.8,.417,1.4,3.7,.367,1.6,2.0,.780,0.3,1.6
Jordan Walker,10,0,1.9,0.2,0.7,.286,0.2,0.5,.400,0.0,0.2,.000,0.1,0.2,.500,0.1,0.1
Josh Walker,10,0,2.5,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,0.0,0.0,,0.1,0.2
Joshua Walker,4,0,2.3,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,0.0,0.3
Keith Walker,23,0,6.4,0.6,2.0,.289,0.4,0.7,.625,0.1,1.3,.103,0.6,0.8,.778,,
Keith Walker,99,,32.5,4.3,6.9,.630,,,,,,,1.6,2.9,.538,5.1,1.2
Keith Walker,27,,15.0,0.9,2.8,.307,,,,,,,0.8,1.3,.618,1.2,2.1
Keith Walker,29,0,5.7,1.0,2.1,.484,,,,,,,0.7,1.1,.645,1.3,0.1
Keith Walker,102,61,29.0,2.6,6.2,.416,1.8,2.6,.677,2.0,4.7,1.5,0.1,,2.1,6.9,
Keith Walker,69,,,1.6,4.9,.326,1.2,2.0,.590,3.9,0.8,,,,2.6,4.4,
Kelly Walker,6,0,7.0,0.7,1.5,.444,0.7,1.3,.500,0.0,0.2,.000,0.3,0.5,.667,,
Kelly Walker,36,5,12.3,1.7,3.3,.508,1.7,3.2,.535,0.0,0.2,.000,0.6,1.3,.444,,
Kemba Walker,111,77,32.9,5.2,12.2,.428,4.1,8.7,.469,1.1,3.5,.326,4.5,5.8,.783,1.0,3.4
Ken Walker,58,,32.0,2.7,5.4,.492,4.6,5.2,.890,6.0,4.4,,,,1.3,9.9,
Ken Walker,1,,,0.0,1.0,.000,0.0,0.0,,0.0,,,,,0.0,0.0,
Kenny Walker,119,104,21.2,2.7,5.8,.476,2.7,5.7,.477,0.0,0.0,.250,2.4,3.2,.753,,
Kenny Walker,52,14,11.9,3.0,7.4,.405,,,,,,,1.7,2.2,.757,2.1,1.6
Kenny Walker,132,103,30.9,5.8,10.1,.571,,,,,,,4.2,5.6,.750,7.1,1.2
Kenton Walker II,131,9,12.1,1.8,3.3,.539,1.8,3.3,.540,0.0,0.0,.333,0.8,1.3,.616,1.1,2.1
Kerry Walker,58,,29.9,6.9,14.6,.472,3.6,4.5,.797,5.2,2.0,1.3,,3.5,2.9,17.4,
Kevin Walker,118,47,15.4,2.2,5.1,.425,1.2,2.7,.443,1.0,2.4,.406,0.7,1.0,.690,,
Kirk Walker,109,41,20.3,2.1,5.1,.424,1.1,2.4,.451,1.1,2.6,.399,1.3,1.7,.769,,
La-Quiem Walker,17,0,10.4,1.2,2.8,.417,0.9,2.5,.381,0.2,0.4,.667,0.8,1.2,.700,1.1,1.4
Lamont Walker,53,16,17.1,1.6,3.4,.461,1.3,2.5,.511,0.3,0.8,.311,1.2,1.8,.663,1.1,2.8
Larry Walker,49,,,5.0,10.2,.492,1.1,1.6,.700,8.0,1.5,,,,1.7,11.2,
Lee Walker,27,,21.6,3.0,7.6,.400,2.9,6.7,.423,0.2,0.9,.217,1.1,1.8,.633,,
Lee Walker,25,,,0.9,1.8,.478,0.8,1.3,.636,3.0,,,,,2.2,2.6,
Leo Walker,85,29,31.4,1.8,4.2,.424,1.5,3.6,.433,0.5,1.3,.403,0.7,0.9,.808,,
Leonard Walker,75,16,10.8,1.1,2.5,.447,1.0,2.2,.473,0.1,0.3,.261,0.8,1.1,.674,,
LeRoy Walker,54,,,7.2,16.5,.439,3.2,4.4,.720,7.3,,,,,3.4,17.7,
Les Walker,3,0,1.7,0.0,0.3,.000,,,,,,,0.7,0.7,1.000,0.0,0.0
Lester Walker,1,,11.0,0.0,2.0,.000,0.0,0.0,,0.0,0.0,,,,1.0,0.0,
Lloyd Walker,29,0,10.5,1.0,2.3,.441,1.0,2.2,.453,0.0,0.1,.250,1.1,1.2,.861,,
Lonnie Walker,32,18,27.8,4.1,9.9,.415,2.4,4.9,.487,1.8,5.1,.346,1.5,2.0,.738,0.4,2.2
Loren Walker,2,,,0.5,1.0,.500,1.5,2.0,.750,0.0,,,,,0.0,2.5,
Lucas Walker,50,8,9.4,1.1,2.4,.462,0.8,1.3,.615,0.3,1.1,.278,0.5,0.8,.600,0.7,1.3
Luke Walker,25,0,2.2,0.2,0.7,.333,0.2,0.7,.333,0.0,0.0,,0.1,0.3,.429,0.0,0.4
M.J. Walker,120,82,24.3,2.9,7.6,.380,1.4,3.6,.400,1.4,4.0,.361,1.8,2.3,.785,0.3,1.7
Marcus Walker,92,62,27.4,4.7,11.2,.419,3.2,6.5,.497,1.5,4.7,.313,2.1,2.8,.754,,
Marino Walker,111,52,17.5,1.7,4.8,.356,1.4,3.7,.377,0.3,1.2,.289,2.6,3.7,.717,,
Martez Walker,119,73,26.3,3.8,8.7,.443,2.3,4.2,.554,1.5,4.5,.340,3.3,4.1,.808,1.2,2.2
Marvin Walker,6,0,1.7,0.2,0.5,.333,0.0,0.0,,0.2,0.3,0.3,0.0,0.3,0.0,0.3,
Mathew Walker,49,0,12.8,1.0,2.2,.481,1.0,1.9,.554,0.0,0.3,.000,0.9,1.8,.517,,
Matt Walker,73,29,13.8,1.1,3.0,.351,0.7,1.6,.421,0.4,1.5,.278,0.5,0.8,.613,,
Matt Walker,1,0,4.0,1.0,3.0,.333,1.0,3.0,.333,0.0,0.0,,0.0,0.0,,1.0,1.0
Maurice Walker,107,34,15.9,2.7,4.8,.551,2.6,4.8,.553,0.0,0.0,.400,1.7,2.5,.677,1.6,2.6
Maurice Walker,8,,,0.0,0.6,.000,0.0,0.1,.000,0.6,0.1,,,,0.3,0.0,
Max Walker,54,,,3.3,7.7,.425,1.3,1.7,.800,3.2,,,,,1.1,7.9,
Micah Walker,11,4,10.8,0.8,3.0,.273,0.4,1.3,.286,0.5,1.7,.263,0.6,1.1,.583,0.5,0.8
Michael Walker,53,0,10.6,1.7,3.2,.536,,,,,,,1.3,1.7,.739,1.5,1.1
Mickey Walker,41,0,8.1,0.6,1.8,.361,0.4,1.2,.306,0.3,0.6,.478,0.1,0.3,.429,,
Mike Walker,120,21,20.5,2.1,5.6,.370,0.6,1.4,.438,1.4,4.2,.347,0.7,0.9,.765,0.2,1.0
Mike Walker,120,55,19.9,1.5,4.2,.360,0.4,1.1,.386,1.1,3.1,.350,0.8,1.0,.785,0.2,0.9
Mike Walker,108,13,11.6,0.9,1.7,.559,0.9,1.6,.565,0.0,0.0,.000,0.4,0.8,.451,1.2,1.6
Mike Walker,61,6,13.6,0.6,1.6,.389,0.6,1.5,.391,0.0,0.0,.333,0.5,0.9,.615,,
Mike Walker,14,1,8.4,1.0,1.8,.560,0.8,1.1,.733,1.9,0.1,,0.1,,1.6,2.9,
Myles Walker,67,65,23.8,3.0,6.5,.457,3.0,6.5,.457,0.0,0.0,,1.2,2.3,.500,1.9,3.0
Myron Walker,105,52,33.8,7.1,14.1,.499,6.1,11.9,.516,0.9,2.3,.409,3.7,4.7,.781,,
Nick Walker,64,5,11.9,0.7,2.6,.273,0.4,1.1,.329,0.3,1.5,.232,0.9,1.5,.645,0.2,1.3
Oddyst Walker,84,20,15.2,1.5,4.3,.345,0.7,1.8,.372,0.8,2.5,.325,0.5,0.9,.625,0.6,0.8
OdeIl Walker,38,0,6.2,1.2,2.7,.446,,,,,,,0.8,1.1,.714,0.4,0.3
Otis Walker,101,43,16.6,1.2,2.9,.422,1.2,2.9,.424,0.0,0.0,.000,1.5,2.4,.599,1.3,2.1
Paul Walker,56,8,11.4,1.8,4.0,.451,,,.506,,,.313,1.2,1.7,.699,,
Paul Walker,41,,,2.6,6.6,.391,1.2,1.9,.654,3.4,,,,,2.2,6.4,
Paul Walker,18,,,1.3,,,0.3,,,,,,,,1.1,2.9,
Pie Walker,60,16,21.7,2.4,6.1,.400,,,.415,,,,2.0,3.0,.650,3.8,0.7
Ralph Walker,94,8,9.5,0.9,1.7,.519,,,,,,,0.4,0.6,.673,1.6,0.3
Ralph Walker,52,,,7.5,15.5,.483,3.8,5.3,.726,7.5,1.8,,,,2.6,18.8,
Randall Walker,46,,,1.3,2.6,.513,1.3,1.9,.674,3.0,0.5,,,,1.7,4.0,
Ray Walker,13,,,0.0,,,0.2,0.2,1.000,,,,,,0.2,0.2,
Rayburn Walker,9,,,1.4,3.1,.464,0.9,2.2,.400,3.2,,,,,1.8,3.8,
Raymond Walker,24,,,2.0,6.2,.318,1.4,2.0,.673,2.5,,,,,3.0,5.3,
Reggie Walker,11,0,1.4,0.3,0.9,.300,0.2,0.5,.400,0.1,0.5,.200,0.0,0.0,,,
Reggie Walker,48,,,4.8,9.2,.522,,,,,,,1.9,2.6,.718,3.0,
Reginald Walker,15,2,5.1,0.3,1.1,.250,0.3,1.0,.267,0.0,0.1,.000,0.7,0.9,.786,0.1,0.4
Rich Walker,72,,,6.8,14.9,.453,2.7,4.3,.633,4.3,,,,,2.5,16.2,
Rick Walker,76,,,1.4,3.9,.358,,,,,,,0.9,1.5,.573,3.3,
Rickey Walker,33,11,20.6,1.3,2.8,.457,,,,,,,0.3,0.8,.440,1.1,2.2
Rickey Walker,78,,,5.3,12.3,.428,2.2,3.2,.691,8.0,1.5,,,2.8,2.8,12.7,
Riley Walker,23,0,6.1,0.6,1.5,.382,0.5,1.1,.440,0.1,0.4,.222,0.2,0.4,.444,0.3,1.0
Rodney Walker,66,0,10.3,1.1,2.4,.453,,,.487,,,,0.8,1.2,.650,,
Rodney Walker,66,64,24.9,5.0,9.8,.513,4.5,7.7,.579,0.6,2.1,.277,2.1,3.3,.639,,
Romello Walker,39,33,28.5,2.8,8.3,.344,2.2,5.6,.390,0.7,2.7,.248,1.6,2.7,.581,1.1,3.3
Ron Walker,12,,,0.8,1.7,.500,0.5,1.5,.333,1.8,,,,,1.3,2.2,
Rondel Walker,43,10,23.4,2.1,5.4,.395,1.3,2.4,.519,0.9,3.0,.295,1.3,1.9,.675,0.6,2.0
Roy Walker,37,0,4.0,2.5,4.9,.506,2.5,4.9,.506,0.0,0.0,,1.7,2.6,.646,,
Rusty Walker,70,7,5.7,0.9,2.4,.359,0.6,1.5,.417,0.2,0.9,.258,0.7,0.8,.860,,
Ryan Walker,14,0,4.9,0.4,1.6,.217,0.0,0.4,.000,0.4,1.3,.278,0.2,0.3,.750,0.1,0.2
Samaki Walker,50,,29.5,5.5,9.7,.570,5.5,9.6,.574,0.0,0.1,.286,3.2,5.6,.568,,
Sean Walker,115,84,28.6,3.2,8.3,.384,2.3,5.7,.403,0.9,2.6,.340,3.7,4.9,.748,0.9,2.7
Sean Walker,4,0,5.0,0.5,2.3,.222,0.5,2.3,.222,0.0,0.0,,0.3,0.5,.500,,
