name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Dave Haller,6,,,0.2,0.7,.250,0.2,0.7,.250,0.0,0.0,,0.0,0.0,,,
Ed Haller,39,22,,5.1,13.5,.378,6.2,9.3,.668,12.0,,,,,3.1,16.4,
Ed Haller,,,,,,.245,,,.515,,,,,,,,
Jeff Haller,31,,,0.3,1.0,.323,0.4,0.5,.765,1.1,0.3,,,,0.8,1.1,
Lee Haller,2,,,0.0,0.0,,0.0,1.0,.000,0.0,,,,,0.5,0.0,
Tom Haller,29,,,0.1,0.5,.200,0.3,0.7,.526,,,,,,0.8,0.6,
Tommy Haller,26,,,5.0,,,2.3,3.6,.649,,,,,,2.7,12.4,
_ Haller,18,,,3.0,,,1.4,2.5,.578,,,,,,2.8,7.4,
Corey Hallett,111,70,15.1,1.3,3.1,.425,1.2,2.7,.457,0.1,0.4,.217,0.4,0.7,.550,0.8,1.7
Dick Hallett,31,,,3.1,7.2,.428,2.0,3.5,.574,6.9,,,,,3.0,8.1,
Maurice Hallett,107,45,19.4,2.5,5.4,.461,2.5,5.4,.462,0.0,0.0,.000,1.5,2.3,.667,,
Bill Halley,26,,,2.6,,,2.0,2.8,.703,,,,,,1.4,7.2,
