name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Charles Adair,2,,,0.0,0.5,.000,0.0,0.0,,,,,,,0.0,0.0,
Dick Adair,23,,,2.0,,,0.4,,,,,,,,,4.5,
Jerry Adair,55,54,,3.7,9.3,.397,3.5,4.1,.838,4.4,,,,,2.3,10.9,
Manny Adako,126,117,27.1,4.1,7.6,.541,4.1,7.6,.542,0.0,0.1,.286,1.3,1.8,.744,1.3,2.9
Arnaud William Adala Moto,130,93,22.7,3.2,7.4,.428,2.9,6.4,.458,0.3,1.1,.248,3.3,4.7,.696,1.9,4.2
Edmund Adamczyk,72,,,4.0,10.6,.375,1.9,2.6,.747,6.7,,,,,2.4,9.9,
Chuck Adamek,72,,,2.6,7.0,.372,1.9,3.5,.552,6.3,,,,,2.1,7.1,
Mitch Adamek,111,,21.3,4.5,9.2,.492,,,,,,,2.4,3.5,.700,7.5,0.9
Joe Adamitis,73,,,6.0,13.0,.463,2.4,4.1,.595,13.2,,,,,3.9,14.5,
Sam Adamo,78,51,23.4,3.1,7.5,.409,1.9,4.1,.459,1.2,3.4,.349,1.2,1.7,.733,,
Adama Adams,55,34,26.6,3.0,7.7,.384,2.0,4.7,.430,0.9,3.0,.313,2.3,3.1,.754,0.4,2.0
AJ Adams,8,0,5.0,0.3,0.6,.400,0.3,0.5,.500,0.0,0.1,.000,0.1,0.3,.500,0.1,0.1
Ako Adams,129,92,23.9,2.6,7.0,.372,0.9,2.2,.387,1.8,4.8,.365,1.7,2.0,.862,0.2,1.8
Al Adams,,,,,,,,,.446,,,,,,,,
Allen Adams,17,,,0.4,1.0,.353,0.4,1.0,.353,0.0,0.0,,0.0,0.1,.000,,
Alton Adams,47,,,4.3,12.1,.357,2.7,4.1,.646,8.5,,,,,2.9,11.4,
Alvan Adams,73,,,9.7,18.0,.539,3.9,5.6,.702,12.8,,,,,3.2,23.4,
Andre Adams,31,8,12.1,0.5,1.5,.333,0.4,1.0,.406,0.1,0.4,.154,0.5,0.7,.762,0.0,0.6
Andre Adams,71,51,19.2,3.4,5.6,.603,3.4,5.4,.620,0.0,0.2,.143,1.1,1.8,.602,1.5,3.9
Andre Adams,60,31,18.8,1.4,3.2,.443,,,,,,,0.6,0.8,.714,2.7,0.2
