name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Scott MacDonald,72,,20.6,2.7,6.5,.411,0.5,1.0,.536,4.0,1.0,,,,1.8,5.8,
Tommy MacDonald,83,61,30.8,3.0,9.1,.334,1.0,2.9,.343,2.0,6.2,.329,1.6,2.0,.780,,
_ MacDonald,12,,,0.9,,,0.4,,,,,,,,,2.3,
_ MacDonald,39,,,2.3,,,1.8,,,,,,,,,6.3,
Sean Macdonnell,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0
Connor MacDougall,54,1,11.3,1.9,3.2,.607,1.9,3.2,.607,0.0,0.0,,1.6,2.1,.750,0.9,1.2
Matt MacDougall,4,0,3.0,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,0.0,0.0,,0.0,0.3
Ryan MacDowell,2,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,,,
John Macel,58,1,16.6,1.9,4.9,.396,1.6,2.4,.662,1.6,1.6,,,,1.7,5.4,
Stan Macel,13,,,0.4,1.0,.385,0.1,0.4,.200,0.7,,,,,0.4,0.8,
Marcus Macellari,12,0,1.9,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.2,0.2,1.000,0.4,0.5
Doug Macey,10,,,3.5,10.2,.343,0.7,1.6,.438,,,,,,,7.7,
_ Macey,22,,,4.0,,,1.3,,,,,,,,,9.3,
Ernest MacFadgen,24,,,2.0,6.6,.308,1.7,2.8,.603,4.4,0.4,,,,1.9,5.8,
George MacFarland,13,,,0.2,0.5,.333,0.0,0.2,.000,0.7,,,,,0.5,0.3,
Kenny Macfarland,79,5,18.7,2.7,7.5,.360,1.5,3.2,.468,1.2,4.4,.281,1.0,1.7,.602,,
Mike MacFarlane,108,3,13.5,0.7,1.5,.484,,,,,,,1.2,1.7,.705,2.9,0.1
Taj MacFarlane,26,,,1.4,2.7,.536,1.4,2.7,.536,0.0,0.0,,0.5,1.1,.500,,
Bob MacGillivary,59,,,3.8,8.8,.434,3.2,4.6,.696,5.3,,,,,2.9,10.9,
Ron MacGilvray,88,,,2.2,6.7,.332,1.9,3.6,.537,8.0,2.7,,,,2.4,6.4,
Danny MacGregor,29,,,0.6,1.7,.333,0.6,1.2,.444,0.8,,,,,1.2,1.7,
Gavin MacGregor,30,0,7.8,0.8,1.2,.639,0.8,1.2,.639,0.0,0.0,,0.6,1.0,.567,0.7,1.0
Matt MacGregor,25,4,18.9,1.7,4.7,.364,0.8,2.0,.388,1.0,2.8,.348,1.6,2.2,.741,,
Enoch Mach,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Barry Machado,12,,,1.2,3.8,.311,0.8,1.3,.563,1.1,,,,,1.6,3.1,
Jonathan Machado,7,0,4.6,0.4,1.0,.429,0.3,0.3,1.000,0.1,0.7,.200,0.3,0.3,1.000,0.0,0.6
Pablo Machado,99,46,15.9,2.0,4.4,.459,2.0,4.3,.459,0.0,0.0,.500,1.6,2.8,.563,,
Scott Machado,132,125,31.4,4.0,9.3,.429,3.1,6.6,.466,0.9,2.7,.342,3.3,4.4,.740,0.8,3.1
Bryan Machamer,11,0,1.5,0.4,1.2,.308,0.4,0.8,.444,0.0,0.4,.000,0.0,0.2,.000,,
Matthew Mache,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Michael Mache,8,0,2.0,0.1,0.4,.333,0.1,0.4,.333,0.0,0.0,,0.1,0.3,.500,0.5,0.0
Marshall Macheledt,7,0,1.6,0.1,0.3,.500,0.1,0.3,.500,0.0,0.0,,0.0,0.0,,0.1,0.3
Fred Machemer,61,,,2.1,6.1,.341,1.4,2.2,.628,4.4,,,,,2.0,5.6,
John Machiaverna,21,,,3.3,7.2,.457,1.5,1.9,.795,4.8,1.6,,,,3.0,8.0,
Bob Machock,11,0,2.3,0.2,0.5,.333,,,,,,,0.4,0.5,.667,0.5,0.2
Bill Machorek,15,,,0.7,2.5,.297,0.4,0.5,.750,1.0,,,,,0.7,1.9,
Brent Machowiak,44,4,7.0,0.4,1.1,.375,0.2,0.6,.357,0.2,0.5,.400,0.2,0.3,.583,,
Carmen Maciariello,108,1,17.5,2.4,6.4,.373,1.1,2.6,.410,1.3,3.9,.349,1.1,1.6,.707,,
Eric Macias,5,,,0.0,0.8,.000,0.2,0.4,.500,0.4,,,,,0.0,0.2,
Mario Macias,50,,,1.6,4.2,.370,1.3,1.9,.691,1.5,,,,,2.7,4.2,
Genesis Maciel,91,18,19.0,2.3,5.9,.388,1.2,2.9,.423,1.1,3.0,.353,0.7,0.9,.709,0.5,1.8
Pedro Maciel,28,12,22.5,2.1,5.4,.391,1.1,2.5,.437,1.0,2.9,.350,1.2,1.6,.733,0.2,1.7
Pedro Maciel,50,3,11.9,0.4,1.2,.350,0.1,0.2,.455,0.3,1.0,.327,0.2,0.3,.615,0.0,0.7
_ MacIntyre,29,,,2.6,,,1.1,,,,,,,,,6.2,
Al Mack,27,11,18.6,2.1,4.7,.452,,,,,,,1.4,2.0,.698,3.1,0.6
Al Mack,8,,,0.9,1.3,.700,0.0,0.1,.000,0.4,,,,,0.3,1.8,
Al Mack,19,,,0.6,2.2,.286,0.9,1.3,.680,1.3,,,,,0.5,2.2,
Alphonso Mack,21,3,14.1,3.4,6.9,.493,2.7,5.1,.523,0.7,1.8,.405,1.2,1.6,.788,,
Andre Mack,1,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Angelo Mack,4,,,0.5,0.8,.667,0.5,0.8,.667,0.0,0.0,,0.0,0.0,,,
Anthony Mack,28,7,15.4,0.9,3.1,.295,0.3,0.8,.348,0.6,2.3,.277,0.1,0.1,.750,0.2,0.8
B.J. Mack,57,22,16.9,2.9,5.7,.505,2.2,3.9,.571,0.6,1.8,.356,1.3,1.6,.809,1.1,2.1
Billy Mack,15,3,8.0,0.1,0.9,.154,0.1,0.8,.167,0.0,0.1,.000,0.1,0.3,.500,,
Brant Mack,79,31,,0.5,1.7,.304,0.3,0.8,.387,0.2,1.0,.237,0.5,0.7,.673,0.3,1.5
Byron Mack,43,2,12.6,1.1,2.4,.456,1.1,2.7,.420,0.0,0.0,.000,1.3,2.0,.640,,
Cam Mack,46,42,35.3,4.0,10.8,.376,2.6,6.0,.431,1.5,4.8,.306,2.2,3.4,.627,0.8,3.2
Carlton Mack,57,,,1.8,4.3,.422,0.8,1.1,.730,1.4,1.0,,,,1.6,4.4,
Charles Mack,27,,,3.5,8.3,.422,1.3,1.9,.673,,,,,,2.7,8.3,
Chaz Mack,20,0,3.3,0.3,0.8,.313,0.2,0.5,.333,0.1,0.4,.286,0.4,0.6,.636,0.0,0.7
Chris Mack,84,44,22.0,2.3,5.2,.451,1.9,4.0,.484,0.4,1.2,.343,1.7,2.3,.720,,
Chuck Mack,52,,,5.7,12.2,.467,2.3,2.7,.857,4.3,2.0,0.7,0.0,3.0,2.7,13.7,
Connie Mack,102,47,16.1,1.4,3.0,.477,1.4,3.0,.482,0.0,0.0,.000,1.1,2.0,.555,,
Danny Mack,73,3,14.5,1.3,2.7,.465,0.5,0.9,.552,2.4,0.5,,,1.1,1.8,3.1,
Dave Mack,71,,,3.6,8.6,.420,2.0,3.1,.661,8.2,,,,,2.6,9.3,
Doneal Mack,145,66,19.8,2.8,6.9,.413,1.2,2.3,.506,1.6,4.5,.365,0.9,1.4,.660,0.5,1.4
Dorey Mack,3,,,0.0,0.7,.000,1.3,1.7,.800,0.3,,,,,0.0,1.3,
Edward Mack,57,44,28.0,4.0,10.3,.386,2.8,6.9,.401,1.2,3.4,.356,2.8,4.3,.653,1.6,2.3
